description,hs_code,category,sample_type,confusable_with,classification_note
"Men's collared long-sleeve top in fine interlock knit, featuring a full button-front placket and button cuffs.",6109,"T-shirts, singlets and vests — knitted or crocheted",overlapping,6205.0,"WCO GRI Rule 1: Fabric construction (knitted jersey) takes precedence over garment style. A knitted polo shirt with collar and buttons is 6109, not 6205."
"Relaxed fit top for home, made of a supple textile with inherent stretch, designed for ultimate comfort.",6109,"T-shirts, singlets and vests — knitted or crocheted",ambiguous,,Ambiguous: missing primary identifiers 'T-shirt' and 'knitted'; inferrable from 'relaxed fit top' and 'supple textile with inherent stretch'.
"IKEA MALM white particleboard 6-drawer dresser, bedroom furniture storage unit.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (dresser, furniture)."
"RED Komodo 6K cinema camera, Super 35 sensor, professional video recorder, requiring separate optical lenses.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (cinema camera, video recorder, optical, lenses)."
Compact apparatus creating an localized area of radio frequency connectivity for portable computing.,8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'WiFi' or 'access point'; inferrable from functional context.
"Men's non-iron blue solid dress shirt, woven fabric, standard fit, size 17 neck, wrinkle-resistant, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Men's long-sleeve black dress shirt, woven twill fabric, slim cut, size 38, formal evening wear, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Classic men's red and black plaid flannel shirt, brushed woven cotton, button-front, size L, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
PVC waterproof dry bag 20L roll-top closure outdoor kayaking blue,3926,Other articles of plastics,standard,,Clear standard: PVC + waterproof bag.
Polycarbonate transparent face shield with adjustable headband clear anti-fog coating,3926,Other articles of plastics,standard,,Clear standard: polycarbonate + face shield.
"Ventilated cotton upper body wear for gentlemen, with short sleeves and a camp collar, perfect for resort style.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'upper body wear for gentlemen,' 'short sleeves,' 'camp collar' (a type of shirt collar), and 'ventilated cotton' (suggests woven)."
"A tall, slender unit with multiple enclosed compartments for culinary provisions and utensils.",9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'cabinet' or 'pantry'; inferrable from functional context.
"Relaxed fit short-sleeve pullover woven linen shirt, styled like a comfortable casual tee.",6205,Men's shirts — not knitted or crocheted (woven),overlapping,6109.0,"WCO GRI Rule 1: A garment described as a 'shirt' in woven fabric is 6205. However, if constructed from jersey or knitted fabric, it reverts to 6109 regardless of styling."
"Compact broadcast transmission apparatus for live events, utilizing integrated 5G modules for reliable wireless network connectivity.",8525,Cameras and broadcast transmission apparatus,edge_case,8517.0,"Edge case: subject is 8525 product; modifier contains 8517 trap keywords (5G, wireless network)."
Polypropylene step stool shaped and styled to match bedroom dresser and nightstand furniture set,3926,Other articles of plastics,edge_case,9403,Edge case: subject is plastic step stool (3926); modifier 'bedroom dresser and nightstand furniture set' are strong 9403 trap keywords.
"Unisex youth red activewear knitted vest, polyester blend, size M, breathable fabric.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Google Nest Wifi Pro mesh router system, 3-pack, white, for whole-home seamless WiFi network coverage.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Workwear men's heavy-duty denim shirt, long sleeve, snap button-down, rugged construction, size XXL, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
Handheld unit engineered for secure data transfer and interactive media consumption anywhere.,8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'smartphone'; inferrable from functional context.
Personal handheld unit enabling real-time audiovisual exchange over digital communication pathways.,8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'smartphone'; inferrable from functional context.
"Modern oak wood office desk with steel frame, featuring integrated shelving units.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (desk, shelving)."
"Compact dark wood bedside table, a nightstand furniture piece with drawer.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (table, furniture)."
"Kids' cartoon print cotton knitted crewneck T-shirt, red, short sleeve, size 4T.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"A robust, bucket-shaped article used for temporarily holding domestic waste before disposal.",3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
"Safari men's utility linen shirt, sand color, button-front, lightweight, size XL, outdoor adventure, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"GoPro HERO11 Black action camera, 5K video recorder, waterproof design, with a wide-angle optical lens.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (action camera, video recorder, optical, lens)."
"Segmented seed starting flats, allowing individual growth environments for numerous young plants.",3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
"Infant's soft, short-sleeved apparel, crafted from a gentle fabric known for its stretch and easy care.",6109,"T-shirts, singlets and vests — knitted or crocheted",ambiguous,,Ambiguous: missing primary identifiers 'T-shirt' and 'knitted'; inferrable from 'short-sleeved apparel' and 'gentle fabric known for its stretch'.
"Casual cotton modal blend knitted vest, sleeveless, deep navy, unisex, size S.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"ActiveFit men's compression singlet, high-stretch knitted fabric, black, M.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Men's denim button-up shirt, a durable outer layer designed to be worn over a simple T-shirt or crocheted vest.",6205,Men's shirts — not knitted or crocheted (woven),edge_case,6109.0,Edge case: subject 'denim button-up shirt' (6205) modified by 'T-shirt' and 'crocheted vest' (6109 trap keywords).
"Adjustable standing computer desk with wire management, office workstation furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (desk, furniture)."
"Summer men's striped linen shirt, short sleeve, resort style, breathable woven fabric, size L, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Round tempered glass coffee table with bronze finished legs, stylish furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (table, furniture)."
Studio equipment generating high-resolution moving pictures for live public exhibition.,8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
ABS plastic wall-mounted bathroom toilet brush holder with bracket white,3926,Other articles of plastics,standard,,Clear standard: ABS plastic + household holder.
"Premium men's light green linen shirt, long sleeve, casual button-down style, breathable, size XL.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
Injection-molded polypropylene kitchen colander strainer 5L with double handle white,3926,Other articles of plastics,standard,,Clear standard: polypropylene + colander.
"Men's woven dress shirt, specifically designed to be worn over a crewneck T-shirt for a layered look.",6205,Men's shirts — not knitted or crocheted (woven),edge_case,6109.0,Edge case: subject 'woven dress shirt' (6205) modified by 'crewneck T-shirt' (6109 trap keywords).
High-definition studio broadcast camera equipped with an embedded WiFi module for seamless integration into a production wireless network.,8525,Cameras and broadcast transmission apparatus,edge_case,8517.0,"Edge case: subject is 8525 product; modifier contains 8517 trap keywords (WiFi, wireless network)."
"Moisture-wicking performance singlet, knitted, ideal for wear beneath a tailored woven dress shirt for extended comfort.",6109,"T-shirts, singlets and vests — knitted or crocheted",edge_case,6205.0,"Edge case: subject is 6109 product (singlet); modifier contains 6205 trap keywords (woven, dress shirt)."
"Professional live streaming webcam with advanced autofocus, built-in WiFi 6 for direct platform uploads and two-way audio.",8525,Cameras and broadcast transmission apparatus,overlapping,8517.0,"WCO GRI Rule 1: Primary function is optical image capture/broadcast (8525), not voice/data transmission (8517), even if device has WiFi or streaming capability."
"Transparent acrylic (plastic) end table, offering a sleek, modern aesthetic for contemporary living spaces.",9403,Other furniture and parts thereof,overlapping,3926.0,"WCO GRI Rule 1: Primary function (furniture/seating/storage as part of household furnishing) takes precedence over material. A plastic outdoor chair is 9403, not 3926."
"Contemporary bed frame with decorative headboard and footboard panels made from durable acrylic, providing a sleek design.",9403,Other furniture and parts thereof,edge_case,3926.0,Edge case: subject is 9403 product; modifier contains 3926 trap keywords (acrylic).
"Casual men's indigo chambray button-down shirt, long sleeve, 100% woven cotton, size S, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Child's bedroom wardrobe, 2-door, made from painted MDF, compact furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (wardrobe, furniture)."
"Samsung Galaxy S23 Ultra 5G smartphone, black, 256GB storage, for mobile network communication.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Video intercom system with an integrated wide-angle lens, allowing seamless integration with external DSLR camera feeds.",8517,Telecommunications apparatus,edge_case,8525.0,"Edge case: subject is 'video intercom system' (8517); modifier contains 8525 trap keywords ('lens', 'DSLR camera')."
HDPE plastic 20L fuel-grade jerry can red UN-certified transport container,3926,Other articles of plastics,standard,,Clear standard: HDPE + fuel container.
Polypropylene stackable storage box 64L translucent lid with handles,3926,Other articles of plastics,standard,,Clear standard: polypropylene + storage box.
"Heavy-duty metal filing cabinet, 4-drawer, essential office storage furniture.",9403,Other furniture and parts thereof,standard,,"Clear standard sample: contains primary identifying keywords (cabinet, furniture)."
"Compact field broadcast camera with optical zoom, low-latency IP streaming, and integrated intercom for multi-site production.",8525,Cameras and broadcast transmission apparatus,overlapping,8517.0,"WCO GRI Rule 1: Primary function is optical image capture/broadcast (8525), not voice/data transmission (8517), even if device has WiFi or streaming capability."
"Iridium 9555 satellite telephone, ruggedized, for global voice communication over specialized networks.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Robotic PTZ camera, Full HD, 30x optical zoom lens, for remote monitoring and video streaming.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (PTZ camera, optical, lens, video)."
"BasicEssential men's pure cotton knitted crewneck T-shirt pack of three, white, L.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
Terrestrial radio frequency emitter for conveying live performance signals to a distribution network.,8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
"Cradlepoint E3000 Series 5G enterprise gateway/router, for primary or failover WAN connectivity.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"EcoWear women's sustainable bamboo blend knitted singlet, lavender, size M, comfy.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
Moxa MGate 5105-MB-EIP industrial Ethernet gateway for Modbus RTU/TCP to EtherNet/IP network conversion.,8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
Molded ABS rigid protective carrying case foam insert IP67 waterproof black,3926,Other articles of plastics,standard,,Clear standard: molded ABS + carrying case.
"Compact Sony Alpha A7C mirrorless camera, 24MP sensor, capable of 4K video recording, with an interchangeable lens.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (mirrorless, camera, video recording, lens)."
"Business casual men's jersey knit shirt featuring a structured point collar, hidden button placket, and cuffed sleeves.",6109,"T-shirts, singlets and vests — knitted or crocheted",overlapping,6205.0,"WCO GRI Rule 1: Fabric construction (knitted jersey) takes precedence over garment style. A knitted polo shirt with collar and buttons is 6109, not 6205."
Polycarbonate water bottle 1L wide-mouth BPA-free leak-proof lid sports,3926,Other articles of plastics,standard,,Clear standard: polycarbonate + bottle.
"Deep-sea submersible digital camera, 20 megapixel, pressure-rated, with a specialized dome optical lens.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (digital camera, megapixel, optical, lens)."
"Office men's crisp white Oxford shirt, long sleeve, slim fit, size 16 neck, non-iron, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Ruggedized tablet with integrated professional-grade camera for site inspections, featuring advanced cellular communication capabilities.",8517,Telecommunications apparatus,overlapping,8525.0,"WCO GRI Rule 1: Primary function is voice/data transmission (8517), not optical recording (8525), even if device has a high-quality camera."
"Articulated toy figures made from synthetic resin, suitable for children's imaginative play.",3926,Other articles of plastics,ambiguous,,Ambiguous: missing primary identifier 'plastic'; inferrable from functional context.
Rugged 8K action camera featuring integrated LTE for real-time global broadcast and interactive remote monitoring.,8525,Cameras and broadcast transmission apparatus,overlapping,8517.0,"WCO GRI Rule 1: Primary function is optical image capture/broadcast (8525), not voice/data transmission (8517), even if device has WiFi or streaming capability."
"4K security camera with pan-tilt-zoom, integrated 5G modem for live streaming, and secure cloud storage.",8525,Cameras and broadcast transmission apparatus,overlapping,8517.0,"WCO GRI Rule 1: Primary function is optical image capture/broadcast (8525), not voice/data transmission (8517), even if device has WiFi or streaming capability."
Blow-molded HDPE outdoor garden tool storage shed 150x100cm weather resistant,3926,Other articles of plastics,overlapping,9403,WCO GRI 3(b): plastic article (3926) over furniture (9403); primary material and construction method is plastic blow-moulding.
Core apparatus facilitating the bidirectional flow of digital information across a local perimeter.,8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'router' or 'modem'; inferrable from functional context.
Rigid ABS plastic document box organizer sized to slot under office chair and beside desk,3926,Other articles of plastics,edge_case,9403,Edge case: subject is plastic document box (3926); modifier 'office chair and beside desk' pulls toward furniture 9403.
"Organic cotton baby blue crewneck T-shirt, knitted fabric, size 12-18 months, soft.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
Polypropylene 3-step folding step stool anti-slip treads 150kg rated capacity white,3926,Other articles of plastics,standard,,Clear standard: polypropylene + step stool.
"4K professional webcam, 20 megapixel sensor, with a wide-angle optical lens for high-quality video broadcasts.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (webcam, megapixel, optical, lens, video, broadcasts)."
Modular storage cabinet with clear acrylic sliding doors and sturdy PVC-lined interior shelves for laboratory use.,9403,Other furniture and parts thereof,edge_case,3926.0,"Edge case: subject is 9403 product; modifier contains 3926 trap keywords (acrylic, PVC-lined)."
"Children's cotton vest, lightweight and knitted, perfect for wearing beneath an Oxford cloth button-down shirt.",6109,"T-shirts, singlets and vests — knitted or crocheted",edge_case,6205.0,"Edge case: subject is 6109 product (vest); modifier contains 6205 trap keywords (Oxford, button-down)."
"A collared upper body garment for men, with long sleeves and buttoned cuffs, made from crisp cotton poplin.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'collared upper body garment for men,' 'long sleeves and buttoned cuffs,' and 'crisp cotton poplin' (woven fabric)."
"Ladies' striped crewneck T-shirt, fine gauge knitted rayon, short sleeve, size M.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"A handheld device for electronic news gathering, recording high-fidelity moving images and audio.",8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
"Casual overpiece for men, crafted from soft chambray, featuring roll-up sleeves and chest flap pockets.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'casual overpiece for men,' 'chambray' (woven fabric), 'roll-up sleeves,' and 'chest flap pockets'."
"Cisco Catalyst 2960X-24TS-L Gigabit Ethernet managed switch, 24 ports, for enterprise network infrastructure.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Recycled polypropylene kids toy storage bin with cushioned flip lid seat, 60L",3926,Other articles of plastics,overlapping,9403,WCO GRI 3(b): plastic article (3926) prevails; secondary seating cushion on lid does not confer primary furniture (9403) classification.
"Panasonic Lumix LX100 digital camera, 17 megapixel Micro Four Thirds sensor, with a Leica optical zoom lens.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (digital camera, megapixel, optical, lens)."
"Boxy fit woven seersucker camp shirt, designed for untucked wear, resembling an elevated casual tee.",6205,Men's shirts — not knitted or crocheted (woven),overlapping,6109.0,"WCO GRI Rule 1: A garment described as a 'shirt' in woven fabric is 6205. However, if constructed from jersey or knitted fabric, it reverts to 6109 regardless of styling."
"Durable, brightly colored plastic outdoor dining chair, designed for patio and garden entertaining.",9403,Other furniture and parts thereof,overlapping,3926.0,"WCO GRI Rule 1: Primary function (furniture/seating/storage as part of household furnishing) takes precedence over material. A plastic outdoor chair is 9403, not 3926."
"Boys' casual checked button-down shirt, long sleeve, 100% woven cotton, size 8, versatile, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
"Enterprise-grade video conference camera, PTZ functionality, 12x optical zoom lens, suitable for broadcast applications.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (video conference camera, optical, lens, broadcast)."
Acrylic retail countertop display riser 3-tier product elevation stand clear,3926,Other articles of plastics,standard,,Clear standard: acrylic + display riser.
"Garment for formal male attire, featuring a pointed collar, full front closure, in a breathable twill textile.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'garment for formal male attire,' 'pointed collar,' 'full front closure,' and 'twill textile' (woven)."
"Stationary terminal, allowing desk-bound personnel to conduct distant voice conversations and message transfers.",8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'telephone'; inferrable from functional context.
"Boys' long-sleeved covering, designed with a stiff collar and a straight hem, ideal for school uniform.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'boys' long-sleeved covering,' 'stiff collar,' 'straight hem,' and 'school uniform' context."
"Men's checked flannel shirt, made from woven material, perfect as an overshirt for a plain jersey T-shirt.",6205,Men's shirts — not knitted or crocheted (woven),edge_case,6109.0,Edge case: subject 'flannel shirt' (6205) modified by 'jersey T-shirt' (6109 trap keywords).
"Women's comfortable sleeveless garment, made from a soft, pliant fabric ideal for layering or warm weather.",6109,"T-shirts, singlets and vests — knitted or crocheted",ambiguous,,"Ambiguous: missing primary identifiers 'singlet' and 'knitted'; inferrable from 'sleeveless garment' and 'soft, pliant fabric'."
"Compact mini action camera, 1080p video recorder, lightweight design, with a wide-angle optical lens for FPV drones.",8525,Cameras and broadcast transmission apparatus,standard,,"Clear standard sample: contains primary identifying keywords (action camera, video recorder, optical, lens)."
"Professional top for male office wear, crafted from fine broadcloth with a tailored fit and front opening.",6205,"Men's or boys' shirts, not knitted or crocheted (woven)",ambiguous,,"Ambiguous: missing primary identifier 'shirt'; inferrable from 'professional top for male office wear,' 'broadcloth' (woven fabric), and 'tailored fit and front opening'."
"Arris SURFboard SB8200 DOCSIS 3.1 cable modem, black, for high-speed internet access via wired network.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
Modular component managing distribution of electronic signals and information among connected client devices.,8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'switch' or 'hub'; inferrable from functional context.
"Formal men's striped dress shirt, woven poplin fabric, regular fit, size 15.5 neck, not knitted.",6205,Men's shirts — not knitted or crocheted (woven),standard,,Clear standard sample: contains primary identifying keywords.
Compact external adapter for establishing high-speed digital data links with remote infrastructure.,8517,Telecommunications apparatus,ambiguous,,Ambiguous: missing primary identifier 'modem' or 'cellular data dongle'; inferrable from functional context.
Advanced imaging module capable of generating ultra-clear digital visuals for cinematic production.,8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
"Women's knitted singlet featuring a mock collar detail, often layered under a traditional woven dress shirt.",6109,"T-shirts, singlets and vests — knitted or crocheted",edge_case,6205.0,"Edge case: subject is 6109 product (singlet); modifier contains 6205 trap keywords (collar, woven, dress shirt)."
"Woven poplin Henley shirt, featuring a three-button placket and ultra-casual short sleeves.",6205,Men's shirts — not knitted or crocheted (woven),overlapping,6109.0,"WCO GRI Rule 1: A garment described as a 'shirt' in woven fabric is 6205. However, if constructed from jersey or knitted fabric, it reverts to 6109 regardless of styling."
HDPE blow-molded plastic storage unit resembling an open shelving bookcase five-tier design white,3926,Other articles of plastics,edge_case,9403,Edge case: subject is plastic storage unit (3926); modifier 'shelving bookcase five-tier' mimics furniture (9403) vocabulary.
A multi-tiered structure crafted from polished wood for exhibiting various decorative objects.,9403,Other furniture and parts thereof,ambiguous,,Ambiguous: missing primary identifier 'shelf' or 'bookcase'; inferrable from functional context.
"SportLux men's athletic performance jersey T-shirt, moisture-wicking, grey, XL.",6109,"T-shirts, singlets and vests — knitted or crocheted",standard,,Clear standard sample: contains primary identifying keywords.
"Wearable body camera with integrated LTE for real-time field communication, remote monitoring, and two-way voice.",8517,Telecommunications apparatus,overlapping,8525.0,"WCO GRI Rule 1: Primary function is voice/data transmission (8517), not optical recording (8525), even if device has a high-quality camera."
"Long-sleeve men's button-down shirt in soft cotton modal blend jersey knit, with single chest pocket.",6109,"T-shirts, singlets and vests — knitted or crocheted",overlapping,6205.0,"WCO GRI Rule 1: Fabric construction (knitted jersey) takes precedence over garment style. A knitted polo shirt with collar and buttons is 6109, not 6205."
Portable electronic instrument for capturing and storing static or dynamic visual scenes.,8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
"TP-Link Archer AXE75 WiFi 6E tri-band router, for high-speed wireless data transmission via home network.",8517,Telecommunications apparatus,standard,,Clear standard sample: contains primary identifying keywords.
"Unit designed for continuous visual acquisition of premises, providing remote monitoring capabilities.",8525,Cameras and broadcast transmission apparatus,ambiguous,,Ambiguous: missing primary identifier 'camera'; inferrable from functional context.
"Sleeveless knitted vest, ideal as an underlayer for a man's formal shirt or traditional Oxford button-down.",6109,"T-shirts, singlets and vests — knitted or crocheted",edge_case,6205.0,"Edge case: subject is 6109 product (vest); modifier contains 6205 trap keywords (formal shirt, Oxford, button-down)."
